"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"dllhost","0","205","2203448180736","7991296","3411968","16856","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","0.046875","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3028","Microsoft.Win32.SafeHandles.SafeProcessHandle","205","7928",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16856","16856","3411968","3411968","111280","111280","3665920","3665920","12267520","12267520","137134080","2203455356928","True","Normal","3411968","3411968","00:00:00.0312500","dllhost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:03:45 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0156250","129957888","2203448180736","False",,,,"7991296","7991296",,
"dwm","1","990","2203621703680","80424960","42106880","50704","C:\WINDOWS\system32\dwm.exe","Microsoft Corporation","25.25","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Desktop Window Manager","Microsoft? Windows? Operating System","Process","13",,"False",,"2864","Microsoft.Win32.SafeHandles.SafeProcessHandle","990","1088",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","50704","50704","42106880","42106880","514208","514208","44736512","44736512","90869760","90869760","317911040","2203636133888","True","High","42106880","42106880","00:00:09.7500000","dwm","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:25.2500000","00:00:15.5000000","303480832","2203621703680","False",,,,"80424960","80424960",,
"explorer","1","2537","2203920760832","25747456","54083584","107192","C:\WINDOWS\Explorer.EXE","Microsoft Corporation","31.734375","10.0.19041.1023 (WinBuild.160101.0800)","10.0.19041.1023","Windows Explorer","Microsoft? Windows? Operating System","Process","8",,"False",,"4516","Microsoft.Win32.SafeHandles.SafeProcessHandle","2537","5648",".","65808","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","107192","107192","54083584","54083584","1069224","1069224","62459904","62459904","107720704","107720704","658120704","2203976343552","True","Normal","54083584","54083584","00:00:19.2968750","explorer","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:31.7343750","00:00:12.4375000","602537984","2203920760832","False",,,,"25747456","25747456",,
"fontdrvhost","1","32","2203414859776","9396224","6459392","20936","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","0.703125","10.0.19041.1165 (WinBuild.160101.0800)","10.0.19041.1165","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2280","Microsoft.Win32.SafeHandles.SafeProcessHandle","32","984",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20936","20936","6459392","6459392","61008","61008","16019456","16019456","28901376","28901376","548364288","2203866587136","True","Normal","6459392","6459392","00:00:00.3750000","fontdrvhost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7031250","00:00:00.3281250","96636928","2203414859776","False",,,,"9396224","9396224",,
"fontdrvhost","0","32","2203386724352","3084288","1671168","5296","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","0.0625","10.0.19041.1165 (WinBuild.160101.0800)","10.0.19041.1165","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3160","Microsoft.Win32.SafeHandles.SafeProcessHandle","32","988",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5296","5296","1671168","1671168","36776","36776","1699840","1699840","3678208","3678208","69025792","2203387248640","True","Normal","1671168","1671168","00:00:00.0625000","fontdrvhost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00","68501504","2203386724352","False",,,,"3084288","3084288",,
"Idle","0","0","8192","8192","61440","272",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"272","272","61440","61440","0","0","61440","61440","12288","12288","8192","8192",,,"61440","61440",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"8192","8192","False",,,,"8192","8192",,
"LabOnDemand.HyperV.IntegrationService","1","262","4956745728","1146880","22749184","18184","C:\Program Files\Learn on Demand Systems\Lab on Demand Hyper-V Integration Service\LabOnDemand.HyperV.IntegrationService.exe","","0.21875","1.0.7346.19388","1.0.7346.19388","Lab on Demand HyperV Integration Service","Lab on Demand HyperV Integration Service","Process","6",,"False",,"3056","Microsoft.Win32.SafeHandles.SafeProcessHandle","262","5448",".","0","","System.Diagnostics.ProcessModule (LabOnDemand.HyperV.IntegrationService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18184","18184","22749184","22749184","421376","421376","23302144","23302144","24227840","24227840","668377088","4963344384","True","BelowNormal","22749184","22749184","00:00:00.1562500","LabOnDemand.HyperV.IntegrationService","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:02 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00.0625000","661778432","4956745728","False",,,,"1146880","1146880",,
"lsass","0","1472","2203421986816","19083264","8155136","32736","C:\WINDOWS\system32\lsass.exe","Microsoft Corporation","7.046875","10.0.19041.1266 (WinBuild.160101.0800)","10.0.19041.1266","Local Security Authority Process","Microsoft? Windows? Operating System","Process","9",,"False",,"5056","Microsoft.Win32.SafeHandles.SafeProcessHandle","1472","824",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","32736","32736","8155136","8155136","170608","170608","8859648","8859648","24207360","24207360","105881600","2203424104448","True","Normal","8155136","8155136","00:00:02.9843750","lsass","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.0468750","00:00:04.0625000","103763968","2203421986816","False",,,,"19083264","19083264",,
"Memory Compression","0","0","135790592","37744640","483328","0",,,"20.421875",,,,,"Process","8",,,,,,"0","2552",".","0","",,,,,"0","0","483328","483328","4224","4224","704512","704512","223277056","223277056","322961408","322961408",,,"483328","483328","00:00:20.4218750","Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:20.4218750","00:00:00","135790592","135790592","False",,,,"37744640","37744640",,
"MicrosoftEdgeUpdate","0","205","56479744","3764224","2007040","12752","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","Microsoft Corporation","0.09375","1.3.143.57","1.3.143.57","Microsoft Edge Update","Microsoft Edge Update","Process","8",,"False",,"3616","Microsoft.Win32.SafeHandles.SafeProcessHandle","205","5036",".","0","","System.Diagnostics.ProcessModule (MicrosoftEdgeUpdate.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12752","12752","2007040","2007040","109888","109888","2224128","2224128","10788864","10788864","61853696","61853696","True","Normal","2007040","2007040","00:00:00.0781250","MicrosoftEdgeUpdate","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:55:09 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0156250","56479744","56479744","False",,,,"3764224","3764224",,
"MoUsoCoreWorker","0","310","2203427557376","20619264","10268672","18464",,,,,,,,"Process","8",,"True",,,,"310","4416",".","0","",,,,,"18464","18464","10268672","10268672","140048","140048","11653120","11653120","34754560","34754560","136425472","2203454648320",,,"10268672","10268672",,"MoUsoCoreWorker",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"109334528","2203427557376","False",,,,"20619264","20619264",,
"MpCopyAccelerator","0","97","2203379908608","5931008","1839104","7112",,,"0.328125",,,,,"Process","8",,,,,,"97","6156",".","0","",,,,,"7112","7112","1839104","1839104","51480","51480","2895872","2895872","6565888","6565888","63782912","2203382005760",,,"1839104","1839104","00:00:00.2968750","MpCopyAccelerator",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:35:32 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3281250","00:00:00.0312500","61685760","2203379908608","False",,,,"5931008","5931008",,
"MpDefenderCoreService","0","486","2203434795008","16461824","8933376","17440",,,"0.515625",,,,,"Process","8",,,,,,"486","7220",".","0","",,,,,"17440","17440","8933376","8933376","156640","156640","10809344","10809344","23498752","23498752","118763520","2203436986368",,,"8933376","8933376","00:00:00.4062500","MpDefenderCoreService",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:03:44 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5156250","00:00:00.1093750","116572160","2203434795008","False",,,,"16461824","16461824",,
